Bank Name	 Parameters
BCA	bca
Mandiri	mandiri
BNI	bni
BRI	bri
BSI (Bank Syariah Indonesia)	bsm
BCA Syariah	bca_syr
BTN / BTN Syariah	btn
CIMB Niaga / CIMB Niaga Syariah	cimb
DBS Bank Indonesia	dbs
BTPN / Jenius / BPTN Wow!	btpn
Seabank / Bank BKE	kesejahteraan_ekonomi
Danamon / Danamon Syariah	danamon
Muamalat	muamalat
Bank Jago	artos
LINE Bank / KEB Hana	hana
blu by BCA Digital	royal
Nobu (Nationalnobu) Bank	nationalnobu
Bank Permata	permata
Maybank Indonesia	bii
Panin Bank	panin
TMRW / UOB	uob
OCBC NISP	ocbc
Citibank	citibank
Bank Artha Graha Internasional	artha
Standard Chartered Bank	standard_chartered
ANZ Indonesia	anz
HSBC Indonesia	hsbc
Bank Mayapada	mayapada
BJB	bjb
Bank DKI Jakarta	dki
BPD DIY	daerah_istimewa
Bank Jateng	jawa_tengah
Bank Jatim	jawa_timur
Bank Jambi	jambi
Bank Sumut	sumut
Bank Sumbar (Bank Nagari)	sumatera_barat
Bank Riau Kepri	riau_dan_kepri
Bank Sumsel Babel	sumsel_dan_babel
Bank Lampung	lampung
Bank Kalsel	kalimantan_selatan
Bank Kalbar	kalimantan_barat
Bank Kaltimtara	kalimantan_timur
Bank Kalteng	kalimantan_tengah
Bank Sulselbar	sulselbar
Bank SulutGo	sulut
Bank NTB Syariah	nusa_tenggara_barat
BPD Bali	bali
Bank NTT	nusa_tenggara_timur
Bank Maluku	maluku
Bank Papua	papua
Bank Bengkulu	bengkulu
Bank Sulteng	sulawesi
Bank Sultra	sulawesi_tenggara
Bank Sinarmas	sinarmas
Bank Maspion Indonesia	maspion
Bank Ganesha	ganesha
Bank Mega	mega
Bank Mega Syariah	mega_syr
Commonwealth Bank	commonwealth
Bank Aceh Syariah	aceh
